행정기관코드,기준연월,시도명,시군구명,읍면동명,전체 평균연령,남자 평균연령,여자 평균연령
1111051500,2022-02-28,서울특별시,Jongno,CHWHJ,44.1,42.5,45.5
1111053000,2022-02-28,서울특별시,Jongno,SJ,45.3,45,45.6
1111054000,2022-02-28,서울특별시,Jongno,SCH,48.4,47.1,49.7
1111055000,2022-02-28,서울특별시,Jongno,BA,45.5,44.1,46.7
1111056000,2022-02-28,서울특별시,Jongno,PCH,45.2,44,46.3
1111057000,2022-02-28,서울특별시,Jongno,MA,43.5,43.4,43.5
1111058000,2022-02-28,서울특별시,Jongno,KN,43.1,42.3,43.7
1111060000,2022-02-28,서울특별시,Jongno,KH,47.1,45.6,48.3
1111061500,2022-02-28,서울특별시,Jongno,JR1·2·3·4,50.9,51.6,49.9
1111063000,2022-02-28,서울특별시,Jongno,JR5·6,46.8,47.2,46.4
1111064000,2022-02-28,서울특별시,Jongno,EH,44.7,43.9,45.3
1111065000,2022-02-28,서울특별시,Jongno,HH,42.1,41,43.1
1111067000,2022-02-28,서울특별시,Jongno,CHS1,50.8,50.1,51.5
1111068000,2022-02-28,서울특별시,Jongno,CHS2,49.1,47.8,50.4
1111069000,2022-02-28,서울특별시,Jongno,CHS3,45.7,44.6,46.8
1111070000,2022-02-28,서울특별시,Jongno,SI1,47.3,46.3,48.2
1111071000,2022-02-28,서울특별시,Jongno,SI2,44.8,45.8,43.8
1114052000,2022-02-28,서울특별시,Jung,SK,41.5,42.8,40.3
1114054000,2022-02-28,서울특별시,Jung,HH,51.1,51.6,50.6
1114055000,2022-02-28,서울특별시,Jung,M,49.5,47.3,51.2
1114057000,2022-02-28,서울특별시,Jung,P,46.3,45.6,47.1
1114058000,2022-02-28,서울특별시,Jung,JCH,43.2,42.1,44.4
1114059000,2022-02-28,서울특별시,Jung,KH,46.7,47.3,46.1
1114060500,2022-02-28,서울특별시,Jung,EJR,50.3,51.7,48.2
1114061500,2022-02-28,서울특별시,Jung,SD,46.2,46.6,45.7
1114062500,2022-02-28,서울특별시,Jung,DS,46.2,45,47.3
1114063500,2022-02-28,서울특별시,Jung,YS,47.5,46.2,48.5
1114064500,2022-02-28,서울특별시,Jung,CHK,46.3,44.9,47.5
1114065000,2022-02-28,서울특별시,Jung,SD5,45.1,44.6,45.5
1114066500,2022-02-28,서울특별시,Jung,DH,45.5,44.3,46.6
1114067000,2022-02-28,서울특별시,Jung,HWH,43.3,43.1,43.4
1114068000,2022-02-28,서울특별시,Jung,JR,44.1,43.5,44.6
1117051000,2022-02-28,서울특별시,Yongsan,HA,44.8,43.2,46.4
1117052000,2022-02-28,서울특별시,Yongsan,YS2,46.8,45,48.5
1117053000,2022-02-28,서울특별시,Yongsan,NY,49.4,50.6,47.5
1117055500,2022-02-28,서울특별시,Yongsan,CHP,44,43.8,44.3
1117056000,2022-02-28,서울특별시,Yongsan,WHR1,40.9,40.9,41
1117057000,2022-02-28,서울특별시,Yongsan,WHR2,43.9,43.6,44.2
1117058000,2022-02-28,서울특별시,Yongsan,HCH,42.4,41.4,43.3
1117059000,2022-02-28,서울특별시,Yongsan,YM,44.6,43.6,45.6
1117062500,2022-02-28,서울특별시,Yongsan,HKR,43,42.9,43.1
1117063000,2022-02-28,서울특별시,Yongsan,ICH1,42.9,41.6,44.1
1117064000,2022-02-28,서울특별시,Yongsan,ICH2,46.8,45.2,48.2
1117065000,2022-02-28,서울특별시,Yongsan,ITW1,47.2,45.5,48.8
1117066000,2022-02-28,서울특별시,Yongsan,ITW2,45.9,44.6,47
1117068500,2022-02-28,서울특별시,Yongsan,HN,45.2,44.1,46.3
1117069000,2022-02-28,서울특별시,Yongsan,SBK,43.6,42.6,44.6
1117070000,2022-02-28,서울특별시,Yongsan,BK,47,44.7,49.3
1120052000,2022-02-28,서울특별시,Seongdong,WSN2,43.1,42.4,43.8
1120053500,2022-02-28,서울특별시,Seongdong,WSNDS,42.2,41.6,42.8
1120054000,2022-02-28,서울특별시,Seongdong,MJ,44,43.2,44.8
1120055000,2022-02-28,서울특별시,Seongdong,SK,38.3,37.2,39.6
1120056000,2022-02-28,서울특별시,Seongdong,HD1,42.9,42.5,43.3
1120057000,2022-02-28,서울특별시,Seongdong,HD2,43.5,42.8,44.1
1120058000,2022-02-28,서울특별시,Seongdong,EB,43.2,41.9,44.3
1120059000,2022-02-28,서울특별시,Seongdong,KH1,44.1,42.9,45.1
1120061500,2022-02-28,서울특별시,Seongdong,KH2·3,44.1,42.9,45.3
1120062000,2022-02-28,서울특별시,Seongdong,KH4,43.5,42.3,44.7
1120064500,2022-02-28,서울특별시,Seongdong,OS,42.9,42.1,43.6
1120065000,2022-02-28,서울특별시,Seongdong,SS11,43.4,42.6,44.1
1120066000,2022-02-28,서울특별시,Seongdong,SS12,43.5,43,44
1120067000,2022-02-28,서울특별시,Seongdong,SS21,46.4,45.9,46.9
1120069000,2022-02-28,서울특별시,Seongdong,SS23,44.8,44.7,44.8
1120072000,2022-02-28,서울특별시,Seongdong,SJ,45.6,45,46.2
1120079000,2022-02-28,서울특별시,Seongdong,YD,45.8,46.2,45.5
1121571000,2022-02-28,서울특별시,Gwangjin,HY,37.1,37.9,36.5
1121573000,2022-02-28,서울특별시,Gwangjin,KJ,42.8,42.2,43.4
1121574000,2022-02-28,서울특별시,Gwangjin,JK1,44.1,43.9,44.3
1121575000,2022-02-28,서울특별시,Gwangjin,JK2,43.6,43.2,44
1121576000,2022-02-28,서울특별시,Gwangjin,JK3,45.5,44.6,46.5
1121577000,2022-02-28,서울특별시,Gwangjin,JK4,45.8,44.8,46.8
1121578000,2022-02-28,서울특별시,Gwangjin,N,42.3,41.9,42.7
1121581000,2022-02-28,서울특별시,Gwangjin,KJ,39.6,39,40.2
1121582000,2022-02-28,서울특별시,Gwangjin,JY1,43.7,42.8,44.5
1121583000,2022-02-28,서울특별시,Gwangjin,JY2,44.1,43.3,44.8
1121584000,2022-02-28,서울특별시,Gwangjin,JY3,42.7,42.1,43.3
1121584700,2022-02-28,서울특별시,Gwangjin,JY4,46.7,45.9,47.5
1121585000,2022-02-28,서울특별시,Gwangjin,KU1,42.5,42.1,42.9
1121586000,2022-02-28,서울특별시,Gwangjin,KU2,43.8,42.8,44.8
1121587000,2022-02-28,서울특별시,Gwangjin,KU3,42.7,42.2,43.1
1123053600,2022-02-28,서울특별시,Dongdaemun,YS,44.4,44.4,44.4
1123054500,2022-02-28,서울특별시,Dongdaemun,JK,47,45.6,48.4
1123056000,2022-02-28,서울특별시,Dongdaemun,JN1,45.2,44.4,46
1123057000,2022-02-28,서울특별시,Dongdaemun,JN2,45.7,44.7,46.6
1123060000,2022-02-28,서울특별시,Dongdaemun,DSN1,41.7,41.2,42.1
1123061000,2022-02-28,서울특별시,Dongdaemun,DSN2,45.7,44.6,46.6
1123065000,2022-02-28,서울특별시,Dongdaemun,JA1,44.2,43.7,44.6
1123066000,2022-02-28,서울특별시,Dongdaemun,JA2,42.8,41.8,43.8
1123070500,2022-02-28,서울특별시,Dongdaemun,CHRN,50.6,49.1,52.1
1123071000,2022-02-28,서울특별시,Dongdaemun,HK,40.2,39.6,40.9
1123072000,2022-02-28,서울특별시,Dongdaemun,HK1,41.2,41.3,41.1
1123073000,2022-02-28,서울특별시,Dongdaemun,HK2,42.4,41.3,43.5
1123074000,2022-02-28,서울특별시,Dongdaemun,IM1,42.8,42.1,43.6
1123075000,2022-02-28,서울특별시,Dongdaemun,IM2,45.1,44.3,45.9
1126052000,2022-02-28,서울특별시,Jungnang,MM2,46.6,45.8,47.4
1126054000,2022-02-28,서울특별시,Jungnang,MM4,46.3,45,47.6
1126055000,2022-02-28,서울특별시,Jungnang,MM5,42.8,42.2,43.3
1126056500,2022-02-28,서울특별시,Jungnang,MMB,46,45.1,46.8
1126057000,2022-02-28,서울특별시,Jungnang,MM7,46.4,45.5,47.3
1126057500,2022-02-28,서울특별시,Jungnang,MM3·8,47,46,48
1126058000,2022-02-28,서울특별시,Jungnang,SB1,43.8,42.7,44.7
1126059000,2022-02-28,서울특별시,Jungnang,SB2,43.4,43.5,43.2
1126060000,2022-02-28,서울특별시,Jungnang,JH1,45.2,44.5,46
1126061000,2022-02-28,서울특별시,Jungnang,JH2,47.3,46.6,48.1
1126062000,2022-02-28,서울특별시,Jungnang,M1,44,43.3,44.6
1126063000,2022-02-28,서울특별시,Jungnang,M2,45.8,45,46.6
1126065500,2022-02-28,서울특별시,Jungnang,MWB,45.1,44.4,45.7
1126066000,2022-02-28,서울특별시,Jungnang,MW3,47.6,46.9,48.3
1126068000,2022-02-28,서울특별시,Jungnang,SN1,44,42.9,45.1
1126069000,2022-02-28,서울특별시,Jungnang,SN2,46,44.6,47.3
1129052500,2022-02-28,서울특별시,Seongbuk,SB,45.1,44.2,45.9
1129055500,2022-02-28,서울특별시,Seongbuk,SS,44,43.3,44.7
1129057500,2022-02-28,서울특별시,Seongbuk,DS,41,42.3,40.1
1129058000,2022-02-28,서울특별시,Seongbuk,DA1,45.7,44.9,46.4
1129059000,2022-02-28,서울특별시,Seongbuk,DA2,42.4,41.4,43.2
1129060000,2022-02-28,서울특별시,Seongbuk,AA,40.3,39,41.7
1129061000,2022-02-28,서울특별시,Seongbuk,BM,43.4,42.5,44.1
1129062000,2022-02-28,서울특별시,Seongbuk,JR1,43.4,42.2,44.4
1129063000,2022-02-28,서울특별시,Seongbuk,JR2,45.1,43.8,46.3
1129064000,2022-02-28,서울특별시,Seongbuk,JR3,46,43.6,48.2
1129065000,2022-02-28,서울특별시,Seongbuk,JR4,45.3,44,46.6
1129066000,2022-02-28,서울특별시,Seongbuk,KE1,40.1,39.2,40.9
1129068500,2022-02-28,서울특별시,Seongbuk,KE2,41.6,40.7,42.4
1129070500,2022-02-28,서울특별시,Seongbuk,JA,44,42.5,45.4
1129071500,2022-02-28,서울특별시,Seongbuk,WK1,44.1,43.5,44.6
1129072500,2022-02-28,서울특별시,Seongbuk,WK2,44.4,43.8,44.8
1129076000,2022-02-28,서울특별시,Seongbuk,JW1,43.9,42.9,45
1129077000,2022-02-28,서울특별시,Seongbuk,JW2,47.5,46.5,48.5
1129078000,2022-02-28,서울특별시,Seongbuk,JW3,41.1,40.6,41.5
1129081000,2022-02-28,서울특별시,Seongbuk,SK,46.2,45.3,47
1130553400,2022-02-28,서울특별시,Gangbuk,SY,46.6,45.3,47.9
1130553500,2022-02-28,서울특별시,Gangbuk,MA,47,46.4,47.6
1130554500,2022-02-28,서울특별시,Gangbuk,SJ,46.4,45.5,47.1
1130555500,2022-02-28,서울특별시,Gangbuk,SCH,48.8,47.8,49.9
1130557500,2022-02-28,서울특별시,Gangbuk,SKS,41.7,40.5,42.7
1130559500,2022-02-28,서울특별시,Gangbuk,B1,46.4,45.7,47.2
1130560300,2022-02-28,서울특별시,Gangbuk,B2,49,47,50.8
1130560800,2022-02-28,서울특별시,Gangbuk,B3,49.3,47.3,51.1
1130561500,2022-02-28,서울특별시,Gangbuk,SY1,47,46,48
1130562500,2022-02-28,서울특별시,Gangbuk,SY2,47.8,46.4,49.1
1130563500,2022-02-28,서울특별시,Gangbuk,SY3,46.7,45.8,47.5
1130564500,2022-02-28,서울특별시,Gangbuk,WI,47.8,46.6,49
1130566000,2022-02-28,서울특별시,Gangbuk,IS,47.8,46.6,48.9
1132051100,2022-02-28,서울특별시,Dobong,CH1,45.2,44,46.3
1132051200,2022-02-28,서울특별시,Dobong,CH2,45.2,44.1,46.2
1132051300,2022-02-28,서울특별시,Dobong,CH3,47.1,45.9,48.3
1132051400,2022-02-28,서울특별시,Dobong,CH4,44.1,43,45.1
1132051500,2022-02-28,서울특별시,Dobong,CH5,44.9,43.9,45.8
1132052100,2022-02-28,서울특별시,Dobong,DB1,50.4,49.2,51.6
1132052200,2022-02-28,서울특별시,Dobong,DB2,48,47,49
1132066000,2022-02-28,서울특별시,Dobong,SSM1,46.9,46.1,47.7
1132067000,2022-02-28,서울특별시,Dobong,SSM2,46.8,45.1,48.3
1132068000,2022-02-28,서울특별시,Dobong,SSM3,46.5,45.5,47.5
1132068100,2022-02-28,서울특별시,Dobong,SSM4,44.1,42.8,45.3
1132069000,2022-02-28,서울특별시,Dobong,BH1,46.6,46,47.2
1132070000,2022-02-28,서울특별시,Dobong,BH2,47.9,46.6,49.3
1132071000,2022-02-28,서울특별시,Dobong,BH3,45.2,43.3,46.9
1135056000,2022-02-28,서울특별시,Nowon,WK1,45,43.5,46.6
1135057000,2022-02-28,서울특별시,Nowon,WK2,46.9,45.1,48.4
1135058000,2022-02-28,서울특별시,Nowon,WK3,45.6,44.1,47
1135059500,2022-02-28,서울특별시,Nowon,KR1,44.2,43.2,45
1135060000,2022-02-28,서울특별시,Nowon,KR2,40.8,40,41.6
1135061100,2022-02-28,서울특별시,Nowon,HK1,44.2,41.7,46.4
1135061200,2022-02-28,서울특별시,Nowon,HK2,42.8,41.2,44.1
1135061900,2022-02-28,서울특별시,Nowon,JKB,40.1,39.3,40.9
1135062100,2022-02-28,서울특별시,Nowon,JK1,38.6,37.3,39.8
1135062400,2022-02-28,서울특별시,Nowon,JK4,45.6,43.7,47.3
1135062500,2022-02-28,서울특별시,Nowon,JK2·3,46.5,44.4,48.3
1135063000,2022-02-28,서울특별시,Nowon,SK1,45.5,44.5,46.5
1135064000,2022-02-28,서울특별시,Nowon,SK2,44.9,44.3,45.6
1135066500,2022-02-28,서울특별시,Nowon,SK3·4,47.9,46.4,49.4
1135067000,2022-02-28,서울특별시,Nowon,SK5,47,45.4,48.5
1135069500,2022-02-28,서울특별시,Nowon,SK6·7,43.3,41.8,44.6
1135070000,2022-02-28,서울특별시,Nowon,SK8,40.3,39,41.6
1135071000,2022-02-28,서울특별시,Nowon,SK9,44.2,42.5,45.6
1135072000,2022-02-28,서울특별시,Nowon,SK10,42.9,41.6,44
1138051000,2022-02-28,서울특별시,Eunpyeong,NB,45.2,44.2,46
1138052000,2022-02-28,서울특별시,Eunpyeong,BK1,46.1,44.8,47.3
1138053000,2022-02-28,서울특별시,Eunpyeong,BK2,47.3,46.2,48.4
1138055100,2022-02-28,서울특별시,Eunpyeong,KH1,46.5,45.1,47.9
1138055200,2022-02-28,서울특별시,Eunpyeong,KH2,44.7,43.6,45.6
1138056000,2022-02-28,서울특별시,Eunpyeong,KS,45.6,45.2,45.9
1138057000,2022-02-28,서울특별시,Eunpyeong,DJ,45.4,44.9,45.8
1138058000,2022-02-28,서울특별시,Eunpyeong,EA1,42.5,41.5,43.4
1138059000,2022-02-28,서울특별시,Eunpyeong,EA2,41,39.8,42.2
1138060000,2022-02-28,서울특별시,Eunpyeong,EA3,47.7,46.2,49.2
1138062500,2022-02-28,서울특별시,Eunpyeong,YCH,45.3,44.2,46.2
1138063100,2022-02-28,서울특별시,Eunpyeong,SS1,45.1,43.9,46.2
1138063200,2022-02-28,서울특별시,Eunpyeong,SS2,45.6,44.3,46.9
1138064000,2022-02-28,서울특별시,Eunpyeong,JS,46.6,45.8,47.4
1138065000,2022-02-28,서울특별시,Eunpyeong,SS,44.4,43.2,45.5
1138069000,2022-02-28,서울특별시,Eunpyeong,JK,41.8,41.1,42.5
1141052000,2022-02-28,서울특별시,Seodaemun,CHY,45.1,44,46.1
1141055500,2022-02-28,서울특별시,Seodaemun,BAH,42.3,41.7,42.9
1141056500,2022-02-28,서울특별시,Seodaemun,CHH,44,43.4,44.5
1141058500,2022-02-28,서울특별시,Seodaemun,SCH,37.4,38,36.9
1141061500,2022-02-28,서울특별시,Seodaemun,YH,43.3,42.2,44.4
1141062000,2022-02-28,서울특별시,Seodaemun,HJ1,45.4,44.3,46.3
1141064000,2022-02-28,서울특별시,Seodaemun,HJ3,46.9,45.6,48.2
1141065500,2022-02-28,서울특별시,Seodaemun,HJ2,46.3,44.8,47.7
1141066000,2022-02-28,서울특별시,Seodaemun,HE1,45.9,44.9,46.9
1141068500,2022-02-28,서울특별시,Seodaemun,HE2,45.7,44.3,47
1141069000,2022-02-28,서울특별시,Seodaemun,NKJ1,40.4,39.6,41.1
1141070000,2022-02-28,서울특별시,Seodaemun,NKJ2,42.4,41.6,43.2
1141071000,2022-02-28,서울특별시,Seodaemun,BKJ1,43.3,42.2,44.3
1141072000,2022-02-28,서울특별시,Seodaemun,BKJ2,46.1,44.8,47.4
1144055500,2022-02-28,서울특별시,Mapo,AH,41,40.5,41.4
1144056500,2022-02-28,서울특별시,Mapo,KD,43.7,43,44.3
1144058500,2022-02-28,서울특별시,Mapo,DHW,44.2,43,45.2
1144059000,2022-02-28,서울특별시,Mapo,YK,41.2,40.7,41.6
1144060000,2022-02-28,서울특별시,Mapo,DH,41.7,41.2,42.2
1144061000,2022-02-28,서울특별시,Mapo,YR,40.5,39.8,41.1
